caso_id,cat,outcome_actual,tomo,n_matches,apertura_rel,ventana,len_bloque,idx_actual,var_actual,firma_actual,ctx_actual,idx_A,var_A,firma_A,ctx_A,idx_C,var_C,ctx_C,idx_Cref,var_Cref,firma_Cref,A_distinto,C_distinto,Cref_distinto,ultimo_tiene_firma
329_p2351,A3,otro,329,1,,0-17,17,16,por_ello,False,"Por ello, el Tribunal resuelve: Declarar procedente el recurso ordi-",16,por_ello,False,"Por ello, el Tribunal resuelve: Declarar procedente el recurso ordi-",,,,16,por_ello,False,False,sin_match_C,False,False
329_p1862,A3,otro,329,2,96,96-299,430,158,en_consecuencia,False,"En consecuencia, corresponde rechazar la excepción de falta de legiti-",283,por_ello,True,"Por ello, se resuelve: I. Rechazar la excepción de falta de legitima-",283,por_ello,"Por ello, se resuelve: I. Rechazar la excepción de falta de legitima-",283,por_ello,True,True,True,True,True
329_p1669,A1,otro,329,1,,0-7,7,6,por_ello,False,"Por ello, no ha lugar a la medida innovativa solicitada por el Doc-",6,por_ello,False,"Por ello, no ha lugar a la medida innovativa solicitada por el Doc-",,,,6,por_ello,False,False,sin_match_C,False,False
329_p1881,A1,otro,329,1,71,71-690,690,689,por_ello,False,"Por ello, se decide: I. Hacer lugar a la demanda seguida por Mario",689,por_ello,False,"Por ello, se decide: I. Hacer lugar a la demanda seguida por Mario",,,,689,por_ello,False,False,sin_match_C,False,False
329_p2316,A3,otro,329,1,255,255-855,1020,761,por_ello,False,Por ello se resuelve:,761,por_ello,False,Por ello se resuelve:,,,,761,por_ello,False,False,sin_match_C,False,False
329_p1586,A1,otro,329,2,352,352-650,650,420,en_su_merito,False,En su mérito modificó el objeto de la demanda y solicitó al Tribu-,642,por_ello,True,"Por ello, y de conformidad con el dictamen del señor Procurador",642,por_ello,"Por ello, y de conformidad con el dictamen del señor Procurador",642,por_ello,True,True,True,True,True
329_p2539,A2,procedente,329,1,272,272-287,287,284,por_ello,False,"Por ello, de conformidad con lo dictaminado a fs. 38/41 se declara",284,por_ello,False,"Por ello, de conformidad con lo dictaminado a fs. 38/41 se declara",,,,284,por_ello,False,False,sin_match_C,False,False
329_p2864,A1,otro,329,2,,0-314,314,208,por_todo_lo_exp,False,Por todo lo expuesto decidió no hacer lugar a las nulidades inter-,307,por_ello,True,"Por ello,",307,por_ello,"Por ello,",307,por_ello,True,True,True,True,True
329_p2688,A3,otro,329,2,111,111-591,1019,519,en_consecuencia,False,"En consecuencia, de las constancias de la causa no surge la inca-",581,por_ello,True,"Por ello, se decide: Hacer lugar a la demanda seguida por Ramón",581,por_ello,"Por ello, se decide: Hacer lugar a la demanda seguida por Ramón",581,por_ello,True,True,True,True,True
329_p4829,A1,otro,329,2,244,244-442,442,273,en_consecuencia,False,"en consecuencia, los arts. 1º, 14, 16, 17, 28, 31, 33, 75, incs. 1º, 2º, 12,",416,por_ello,True,"Por ello, y de conformidad con lo dictaminado por la señora Procu-",416,por_ello,"Por ello, y de conformidad con lo dictaminado por la señora Procu-",416,por_ello,True,True,True,True,True
329_p3089,A3,otro,329,1,91,91-402,402,302,por_ello,False,"Por ello, oída la señora Procuradora Fiscal sobre una temática",302,por_ello,False,"Por ello, oída la señora Procuradora Fiscal sobre una temática",,,,302,por_ello,False,False,sin_match_C,False,False
329_p3235,A1,otro,329,2,2659,2659-3599,4869,2875,en_consecuencia,False,"En consecuencia, se abre este interrogante ¿qué importancia tiene",3591,por_todo_ello,True,"Por todo ello, y de conformidad con lo dictaminado por el señor",3591,por_todo_ello,"Por todo ello, y de conformidad con lo dictaminado por el señor",3591,por_todo_ello,True,True,True,True,True
329_p4032,A2,hace_lugar,329,1,89,89-309,309,177,por_ello,False,"Por ello, de conformidad con lo dictaminado por aquélla, se hace",177,por_ello,False,"Por ello, de conformidad con lo dictaminado por aquélla, se hace",,,,177,por_ello,False,False,sin_match_C,False,False
329_p3168,A2,originaria,329,1,50,50-287,287,281,por_ello,False,"Por ello, se resuelve: I. Rechazar la demanda seguida por Graciela",281,por_ello,False,"Por ello, se resuelve: I. Rechazar la demanda seguida por Graciela",,,,281,por_ello,False,False,sin_match_C,False,False
329_p3680,A3,otro,329,2,640,640-1429,2817,1259,en_consecuencia,False,"En consecuencia, mediante la previsión contenida en el art. 52 del",1420,por_ello,True,"Por ello, oído el señor Procurador Fiscal, se hace lugar a la queja,",1420,por_ello,"Por ello, oído el señor Procurador Fiscal, se hace lugar a la queja,",1420,por_ello,True,True,True,True,True
329_p4789,A1,otro,329,3,173,173-523,523,449,en_consecuencia,False,"En consecuencia, probada la realización del servicio aéreo, que éste",518,en_consecuencia,False,"En consecuencia, corresponde rechazar por extemporáneo el plan-",,,,,,,True,sin_match_C,sin_match_Cref,False
329_p4263,A2,originaria,329,1,43,43-93,93,89,por_ello,False,"Por ello, se resuelve: I. Admitir la prueba anticipada, rechazar la",89,por_ello,False,"Por ello, se resuelve: I. Admitir la prueba anticipada, rechazar la",,,,89,por_ello,False,False,sin_match_C,False,False
329_p4449,A1,otro,329,3,200,200-515,515,248,por_ello,False,"Por ello, agrega, en cumplimiento de la autorización que le había",501,por_ello,True,"Por ello, oído el señor Procurador General de la Nación, se resuel-",501,por_ello,"Por ello, oído el señor Procurador General de la Nación, se resuel-",248,por_ello,False,True,True,False,True
329_p4862,A3,otro,329,1,,0-60,60,58,por_ello,False,"Por ello, el Tribunal resuelve: Declarar procedente el recurso or-",58,por_ello,False,"Por ello, el Tribunal resuelve: Declarar procedente el recurso or-",,,,58,por_ello,False,False,sin_match_C,False,False
329_p4243,A1,otro,329,1,,0-14,14,3,de_conformidad,False,De conformidad con el principio del art. 133 del Código Procesal Civil y Comer-,3,de_conformidad,False,De conformidad con el principio del art. 133 del Código Procesal Civil y Comer-,,,,,,,False,sin_match_C,sin_match_Cref,False
329_p3806,A1,otro,329,3,108,108-683,1125,256,en_consecuencia,False,"en consecuencia, la de los actos posteriores a aquéllas, por lo que no se",502,en_consecuencia,False,"en consecuencia, la de los actos posteriores a aquéllas, por lo que no se",434,por_ello,"Por ello, se resuelve: Rechazar la demanda entablada por Roberto",434,por_ello,True,True,True,True,False
329_p5543,A1,otro,329,2,102,102-273,273,139,por_ello,False,"por ello, que la demanda debe ser enderezada contra el Estado local y,",265,por_ello,True,"Por ello y oído el señor Procurador Fiscal subrogante, se resuelve",265,por_ello,"Por ello y oído el señor Procurador Fiscal subrogante, se resuelve",139,por_ello,False,True,True,False,True
329_p5903,A3,otro,329,3,84,84-295,363,149,de_conformidad,False,de conformidad con el procedimiento previsto por el art. 11 de la ley,290,por_ello,True,"Por ello, oído el señor Procurador General, se declara procedente",213,por_ello,"Por ello, oído el señor Procurador General, se declara procedente",213,por_ello,True,True,True,True,True
329_p5123,A1,otro,329,2,364,364-479,496,382,por_ello,False,"Por ello, si bien el desapoderamiento dispuesto por el art. 107 de",466,por_ello,True,"Por ello, y lo concordemente dictaminado por el señor Procurador",466,por_ello,"Por ello, y lo concordemente dictaminado por el señor Procurador",382,por_ello,False,True,True,False,True
329_p5994,A1,otro,329,2,116,116-258,306,195,en_consecuencia,False,"En consecuencia, la denegación de la vía casatoria se apoyó exclu-",244,por_ello,True,"Por ello, y lo dictaminado en sentido concordante por el señor Pro-",244,por_ello,"Por ello, y lo dictaminado en sentido concordante por el señor Pro-",244,por_ello,True,True,True,True,True
329_p5310,A1,otro,329,2,37,37-205,225,145,por_ello,False,"por ello, respuesta a los planteos que formuló la parte en defensa de",196,por_ello,True,"Por ello, y habiendo dictaminado el señor Procurador General, se",196,por_ello,"Por ello, y habiendo dictaminado el señor Procurador General, se",145,por_ello,False,True,True,False,True
329_p4944,A1,otro,329,3,170,170-809,1409,618,por_lo_expuesto,False,"Por lo expuesto, se justiprecia el valor vida en $ 240.000, monto",774,por_ello,True,"Por ello, se decide: I.– Hacer lugar a la demanda seguida por Isa-",774,por_ello,"Por ello, se decide: I.– Hacer lugar a la demanda seguida por Isa-",706,por_ello,False,True,True,True,True
329_p5689,A1,otro,329,1,86,86-90,90,89,por_los_fund,False,Por los fundamentos y conclusiones del dictamen del señor Procu-,89,por_los_fund,False,Por los fundamentos y conclusiones del dictamen del señor Procu-,,,,89,por_los_fund,False,False,sin_match_C,False,False
330_p76,A1,otro,330,2,138,138-361,375,296,por_ello,False,"Por ello, planteó ante el Superior Tribunal de Justicia una “acción”",347,por_ello,True,"Por ello, oído el señor Procurador Fiscal subrogante, se hace lugar",347,por_ello,"Por ello, oído el señor Procurador Fiscal subrogante, se hace lugar",296,por_ello,False,True,True,False,True
330_p1286,A2,competencia,330,1,108,108-117,117,111,de_conformidad,False,De conformidad con lo dictaminado por la señora Procuradora Fis-,111,de_conformidad,False,De conformidad con lo dictaminado por la señora Procuradora Fis-,,,,,,,False,sin_match_C,sin_match_Cref,False
330_p1257,A2,hace_lugar,330,1,100,100-114,114,110,por_ello,False,"Por ello, de conformidad con lo dictaminado por la señora Procura-",110,por_ello,False,"Por ello, de conformidad con lo dictaminado por la señora Procura-",,,,110,por_ello,False,False,sin_match_C,False,False
330_p530,A1,otro,330,2,7,7-465,465,192,en_consecuencia,False,"En consecuencia, la Provincia de Misiones concluye que esas escri-",447,por_ello,True,Por ello se resuelve rechazar la demanda contra la Provincia de,447,por_ello,Por ello se resuelve rechazar la demanda contra la Provincia de,447,por_ello,True,True,True,True,True
330_p960,A3,otro,330,1,58,58-77,77,67,por_ello,False,"Por ello, de conformidad con lo dictaminado por aquélla, se declara",67,por_ello,False,"Por ello, de conformidad con lo dictaminado por aquélla, se declara",,,,67,por_ello,False,False,sin_match_C,False,False
330_p251,A1,otro,330,2,,0-153,316,2,de_conformidad,False,"De conformidad con lo previsto por el art. 24, inc. 7°, última parte, del decreto-",136,por_ello,True,"Por ello,",136,por_ello,"Por ello,",136,por_ello,True,True,True,True,True
330_p810,A2,competencia,330,1,44,44-53,53,47,de_conformidad,False,De conformidad con lo dictaminado por la señora Procuradora Fis-,47,de_conformidad,False,De conformidad con lo dictaminado por la señora Procuradora Fis-,,,,,,,False,sin_match_C,sin_match_Cref,False
330_p948,A2,mal_concedido,330,1,,0-56,56,54,por_ello,False,"Por ello, se declara mal concedido el recurso ordinario de fs. 809/820,",54,por_ello,False,"Por ello, se declara mal concedido el recurso ordinario de fs. 809/820,",,,,54,por_ello,False,False,sin_match_C,False,False
330_p1135,A1,otro,330,2,264,264-533,863,478,de_conformidad,False,"De conformidad con las previsiones contenidas en la ley 24.660, en lo",511,por_ello,True,Por ello y de conformidad con lo dictaminado por la señora Procu-,511,por_ello,Por ello y de conformidad con lo dictaminado por la señora Procu-,511,por_ello,True,True,True,True,True
330_p1043,A2,desestima,330,1,4,4-19,19,14,por_ello,False,"Por ello, se desestima la queja. Intímese a la parte recurrente a",14,por_ello,False,"Por ello, se desestima la queja. Intímese a la parte recurrente a",,,,14,por_ello,False,False,sin_match_C,False,False
330_p807,A2,competencia,330,1,82,82-91,91,85,de_conformidad,False,De conformidad con lo dictaminado por la señora Procuradora Fis-,85,de_conformidad,False,De conformidad con lo dictaminado por la señora Procuradora Fis-,,,,,,,False,sin_match_C,sin_match_Cref,False
330_p120,A2,competencia,330,1,93,93-101,101,96,de_conformidad,False,De conformidad con lo dictaminado por la señora Procuradora Fis-,96,de_conformidad,False,De conformidad con lo dictaminado por la señora Procuradora Fis-,,,,,,,False,sin_match_C,sin_match_Cref,False
330_p1305,A2,competencia,330,1,33,33-42,42,36,de_conformidad,False,De conformidad con lo dictaminado por la señora Procuradora Fis-,36,de_conformidad,False,De conformidad con lo dictaminado por la señora Procuradora Fis-,,,,,,,False,sin_match_C,sin_match_Cref,False
330_p563,A1,otro,330,3,232,232-1156,1730,830,por_lo_expuesto,False,"Por lo expuesto, cabe admitir la responsabilidad del club organiza-",1121,por_ello,True,"Por ello, se decide: I. Hacer lugar a la demanda seguida por Hugo",1121,por_ello,"Por ello, se decide: I. Hacer lugar a la demanda seguida por Hugo",1121,por_ello,True,True,True,True,True
330_p628,A2,competencia,330,1,87,87-96,96,90,de_conformidad,False,De conformidad con lo dictaminado por la señora Procuradora Fis-,90,de_conformidad,False,De conformidad con lo dictaminado por la señora Procuradora Fis-,,,,,,,False,sin_match_C,sin_match_Cref,False
330_p2268,A3,otro,330,1,122,122-238,238,234,por_ello,False,"Por ello, oído el señor Procurador Fiscal subrogante, se resuelve:",234,por_ello,False,"Por ello, oído el señor Procurador Fiscal subrogante, se resuelve:",,,,234,por_ello,False,False,sin_match_C,False,False
330_p1950,A1,otro,330,2,,0-352,388,68,de_conformidad,False,de conformidad con lo dispuesto en el segundo párrafo del artículo 21,342,por_ello,True,"Por ello,",342,por_ello,"Por ello,",342,por_ello,True,True,True,True,True
330_p2416,A1,otro,330,2,289,289-517,517,422,en_consecuencia,False,"En consecuencia, la inclusión o exclusión de Y.P.F. del régimen de",511,por_ello,False,"Por ello, y de conformidad con lo dictaminado por el señor Procu-",,,,511,por_ello,False,True,sin_match_C,True,False
330_p1823,A3,otro,330,1,107,107-119,119,110,por_los_fund,False,Por los fundamentos y conclusiones del dictamen del señor Procu-,110,por_los_fund,False,Por los fundamentos y conclusiones del dictamen del señor Procu-,,,,110,por_los_fund,False,False,sin_match_C,False,False
330_p2470,A2,originaria,330,1,141,141-309,309,299,por_ello,False,"Por ello, y de conformidad con lo dictaminado por la señora Procu-",299,por_ello,False,"Por ello, y de conformidad con lo dictaminado por la señora Procu-",,,,299,por_ello,False,False,sin_match_C,False,False
330_p1478,A1,otro,330,2,191,191-280,510,213,en_consecuencia,False,"En consecuencia, calificó el hecho por el cual fuera condenado Escude-",270,por_ello,True,"Por ello, oído el señor Procurador Fiscal, se hace lugar a la queja,",270,por_ello,"Por ello, oído el señor Procurador Fiscal, se hace lugar a la queja,",270,por_ello,True,True,True,True,True
330_p1436,A2,confirma,330,1,165,165-449,449,439,por_ello,False,"Por ello, oído el señor Procurador Fiscal de la Corte, se confirma la",439,por_ello,False,"Por ello, oído el señor Procurador Fiscal de la Corte, se confirma la",,,,439,por_ello,False,False,sin_match_C,False,False
330_p2090,A2,procedente,330,1,76,76-92,92,89,por_ello,False,"Por ello, con el alcance que surge de fs. 472/472 vta., se declara",89,por_ello,False,"Por ello, con el alcance que surge de fs. 472/472 vta., se declara",,,,89,por_ello,False,False,sin_match_C,False,False
330_p1398,A2,hace_lugar,330,1,125,125-144,144,134,por_ello,False,"Por ello, se hace lugar al recurso extraordinario y se deja sin efecto",134,por_ello,False,"Por ello, se hace lugar al recurso extraordinario y se deja sin efecto",,,,134,por_ello,False,False,sin_match_C,False,False
330_p1620,A2,competencia,330,1,81,81-94,94,84,de_conformidad,False,De conformidad con lo dictaminado por la señora Procuradora Fis-,84,de_conformidad,False,De conformidad con lo dictaminado por la señora Procuradora Fis-,,,,,,,False,sin_match_C,sin_match_Cref,False
330_p2748,A1,otro,330,2,102,102-655,760,136,por_ello,False,"Por ello expresa que, a partir de ese momento, se encontró impedi-",643,por_ello,True,"Por ello, y lo dispuesto por el art. 1112 y concordantes del Código",643,por_ello,"Por ello, y lo dispuesto por el art. 1112 y concordantes del Código",136,por_ello,False,True,True,False,True
330_p1389,A2,procedente,330,1,127,127-141,141,135,por_ello,False,"Por ello, de conformidad con el mencionado dictamen, se declara",135,por_ello,False,"Por ello, de conformidad con el mencionado dictamen, se declara",,,,135,por_ello,False,False,sin_match_C,False,False
330_p2327,A3,otro,330,1,244,244-264,264,254,por_ello,False,"Por ello, y lo dictaminado por el señor Procurador Fiscal, se deses-",254,por_ello,False,"Por ello, y lo dictaminado por el señor Procurador Fiscal, se deses-",,,,254,por_ello,False,False,sin_match_C,False,False
330_p1854,A3,otro,330,1,,0-51,51,49,por_ello,False,"Por ello, se declara la caducidad de la instancia. Con costas.",49,por_ello,False,"Por ello, se declara la caducidad de la instancia. Con costas.",,,,49,por_ello,False,False,sin_match_C,False,False
330_p1814,A3,otro,330,1,27,27-76,76,74,por_ello,False,"Por ello, se resuelve: 1. Admitir el desistimiento formulado con",74,por_ello,False,"Por ello, se resuelve: 1. Admitir el desistimiento formulado con",,,,74,por_ello,False,False,sin_match_C,False,False
330_p1927,A1,otro,330,3,157,157-643,643,389,en_su_merito,False,"En su mérito, la legislatura de la Provincia de San Juan adhirió al",620,por_ello,True,"Por ello, oído el señor Procurador Fiscal, se resuelve: Rechazar la",620,por_ello,"Por ello, oído el señor Procurador Fiscal, se resuelve: Rechazar la",620,por_ello,True,True,True,True,True
330_p1350,A2,procedente,330,1,194,194-206,206,201,por_ello,False,"Por ello, de conformidad con lo dictaminado por el señor Procura-",201,por_ello,False,"Por ello, de conformidad con lo dictaminado por el señor Procura-",,,,201,por_ello,False,False,sin_match_C,False,False
330_p2739,A1,otro,330,1,,0-130,130,96,por_lo_expuesto,False,"Por lo expuesto, en mi parecer, se encuentran reunidos la totali-",96,por_lo_expuesto,False,"Por lo expuesto, en mi parecer, se encuentran reunidos la totali-",,,,,,,False,sin_match_C,sin_match_Cref,False
330_p2046,A2,abstracto,330,1,7,7-32,32,30,por_ello,False,"Por ello, se declara abstracta la cuestión planteada. Hágase saber",30,por_ello,False,"Por ello, se declara abstracta la cuestión planteada. Hágase saber",,,,30,por_ello,False,False,sin_match_C,False,False
330_p2049,A1,otro,330,2,195,195-345,388,248,por_todo_ello,False,Por todo ello pide que se declare la improcedencia de la pretensión,330,por_ello,True,"Por ello, y de conformidad con lo dictaminado por el señor Procu-",330,por_ello,"Por ello, y de conformidad con lo dictaminado por el señor Procu-",330,por_ello,True,True,True,True,True
330_p3248,A1,otro,330,2,1492,1492-2415,5446,2212,por_ello,False,Por ello tratándose el sub lite de la investigación de esa clase de,2410,por_ello,True,Por ello se declara procedente el recurso extraordinario y se con-,2410,por_ello,Por ello se declara procedente el recurso extraordinario y se con-,2212,por_ello,False,True,True,False,True
330_p3160,A1,otro,330,2,2111,2111-2591,3585,2284,por_lo_expuesto,False,"Por lo expuesto, surge un campo de tensión en la satisfacción de",2575,por_ello,True,"Por ello, oído el señor Procurador General de la Nación y con el",2575,por_ello,"Por ello, oído el señor Procurador General de la Nación y con el",2575,por_ello,True,True,True,True,True
330_p3379,A3,otro,330,1,796,796-869,869,863,por_ello,False,"Por ello, oído el señor Procurador General de la Nación, el Tribu-",863,por_ello,False,"Por ello, oído el señor Procurador General de la Nación, el Tribu-",,,,863,por_ello,False,False,sin_match_C,False,False
330_p3471,A2,revoca,330,1,214,214-232,232,226,por_ello,False,"Por ello, y de conformidad con lo expresado en aquel dictamen, se",226,por_ello,False,"Por ello, y de conformidad con lo expresado en aquel dictamen, se",,,,226,por_ello,False,False,sin_match_C,False,False
330_p3994,A1,otro,330,2,48,48-227,227,56,en_consecuencia,False,"en consecuencia, dejó sin efecto la resolución de la Administración",221,por_ello,True,"Por ello, y con la salvedad de lo señalado en los considerandos 5º y",221,por_ello,"Por ello, y con la salvedad de lo señalado en los considerandos 5º y",221,por_ello,True,True,True,True,True
330_p3494,A1,otro,330,1,214,214-289,289,288,por_ello,False,Por ello y en lo pertinente lo dictaminado por la señora Procurado-,288,por_ello,False,Por ello y en lo pertinente lo dictaminado por la señora Procurado-,,,,288,por_ello,False,False,sin_match_C,False,False
330_p2877,A2,abstracto,330,1,454,454-583,583,576,por_ello,False,"Por ello, y oído el señor Procurador Fiscal subrogante, se resuelve:",576,por_ello,False,"Por ello, y oído el señor Procurador Fiscal subrogante, se resuelve:",,,,576,por_ello,False,False,sin_match_C,False,False
330_p2992,A2,confirma,330,1,241,241-256,256,253,por_ello,False,"Por ello, se declara formalmente admisible el recurso extraordina-",253,por_ello,False,"Por ello, se declara formalmente admisible el recurso extraordina-",,,,253,por_ello,False,False,sin_match_C,False,False
330_p4101,A2,desestima,330,1,6,6-49,49,47,por_ello,False,"Por ello, se desestima el recurso extraordinario. Con costas.",47,por_ello,False,"Por ello, se desestima el recurso extraordinario. Con costas.",,,,47,por_ello,False,False,sin_match_C,False,False
330_p3145,A3,otro,330,1,27,27-60,60,58,por_ello,False,"Por ello, el Tribunal resuelve: confirmar la sentencia apelada.",58,por_ello,False,"Por ello, el Tribunal resuelve: confirmar la sentencia apelada.",,,,58,por_ello,False,False,sin_match_C,False,False
330_p3663,A3,otro,330,1,12,12-356,356,51,por_ello,False,"Por ello, el Tribunal resuelve:",51,por_ello,False,"Por ello, el Tribunal resuelve:",,,,51,por_ello,False,False,sin_match_C,False,False
330_p3773,A3,otro,330,1,123,123-143,143,140,por_ello,False,Por ello y de conformidad con lo dictaminado por la señora Procu-,140,por_ello,False,Por ello y de conformidad con lo dictaminado por la señora Procu-,,,,140,por_ello,False,False,sin_match_C,False,False
330_p5294,A1,otro,330,2,108,108-323,360,131,por_ello,False,Por ello fue condenado a una pena única de siete años y seis meses de,311,por_ello,True,"Por ello, se hace lugar a la queja, se declara procedente el recurso",311,por_ello,"Por ello, se hace lugar a la queja, se declara procedente el recurso",131,por_ello,False,True,True,False,True
330_p5279,A3,otro,330,1,101,101-276,276,272,por_ello,False,"Por ello y oído el señor Procurador Fiscal subrogante, se resuelve:",272,por_ello,False,"Por ello y oído el señor Procurador Fiscal subrogante, se resuelve:",,,,272,por_ello,False,False,sin_match_C,False,False
330_p5226,A2,originaria,330,1,178,178-279,279,266,por_ello,False,"Por ello, se resuelve: I. Declarar que la presente causa correspon-",266,por_ello,False,"Por ello, se resuelve: I. Declarar que la presente causa correspon-",,,,266,por_ello,False,False,sin_match_C,False,False
330_p4866,A3,otro,330,1,63,63-347,347,335,por_ello,False,"Por ello, el Tribunal resuelve: declarar en el caso la inconstitucio-",335,por_ello,False,"Por ello, el Tribunal resuelve: declarar en el caso la inconstitucio-",,,,335,por_ello,False,False,sin_match_C,False,False
330_p4697,A3,otro,330,1,156,156-237,237,232,por_todo_lo_exp,False,"Por todo lo expuesto, de conformidad en lo pertinente con el señor",232,por_todo_lo_exp,False,"Por todo lo expuesto, de conformidad en lo pertinente con el señor",,,,,,,False,sin_match_C,sin_match_Cref,False
330_p5306,A1,otro,330,3,80,80-832,1479,392,en_consecuencia,False,"En consecuencia, los daños cuyo resarcimiento se reclama son de",812,por_ello,True,"Por ello, se resuelve: Hacer lugar parcialmente a los recursos de-",812,por_ello,"Por ello, se resuelve: Hacer lugar parcialmente a los recursos de-",812,por_ello,True,True,True,True,True
330_p4988,A1,otro,330,2,263,263-899,899,536,por_ello,False,"Por ello, concluye, dicho “trasfondo explica correlativamente (...) los",894,por_ello,True,"Por ello, y lo concordemente dictaminado, en lo pertinente, por el",894,por_ello,"Por ello, y lo concordemente dictaminado, en lo pertinente, por el",536,por_ello,False,True,True,False,True
330_p5237,A2,confirma,330,1,288,288-303,303,301,por_ello,False,"Por ello, se declara formalmente admisible el recurso extraordina-",301,por_ello,False,"Por ello, se declara formalmente admisible el recurso extraordina-",,,,301,por_ello,False,False,sin_match_C,False,False
330_p4685,A3,otro,330,1,12,12-50,50,48,por_ello,False,"Por ello, el Tribunal resuelve: declarar procedentes los recursos",48,por_ello,False,"Por ello, el Tribunal resuelve: declarar procedentes los recursos",,,,48,por_ello,False,False,sin_match_C,False,False
330_p5032,A2,procedente,330,1,564,564-785,785,782,por_ello,False,"Por ello, oído el señor Procurador General, se declara procedente",782,por_ello,False,"Por ello, oído el señor Procurador General, se declara procedente",,,,782,por_ello,False,False,sin_match_C,False,False
330_p5257,A1,otro,330,2,,0-281,281,59,por_lo_expuesto,False,"Por lo expuesto, y en virtud de lo establecido en los arts. 25 y 72 de",149,en_consecuencia,False,"En consecuencia, debido a que la contienda se da entre agentes del",,,,,,,True,sin_match_C,sin_match_Cref,False
330_p4862,A1,otro,330,1,33,33-121,121,106,en_consecuencia,False,"En consecuencia, dado que la ANSeS sólo estuvo en condiciones de",106,en_consecuencia,False,"En consecuencia, dado que la ANSeS sólo estuvo en condiciones de",,,,,,,False,sin_match_C,sin_match_Cref,False
331_p93,A2,desestima,331,1,13,13-42,42,35,por_ello,False,"Por ello, se desestima el planteo de fs. 35/37 y se intima a la re-",35,por_ello,False,"Por ello, se desestima el planteo de fs. 35/37 y se intima a la re-",,,,35,por_ello,False,False,sin_match_C,False,False
331_p194,A1,otro,331,3,158,158-330,330,208,en_merito,False,"En mérito a lo expuesto, solicita que se cite como tercero a la Pro-",316,por_ello,True,"Por ello y oída la señora Procuradora Fiscal, se resuelve declarar",316,por_ello,"Por ello y oída la señora Procuradora Fiscal, se resuelve declarar",221,por_ello,False,True,True,True,True
