SECRETARIA -alias,TIPOS DE CASO-alias,REC(casos con fallos 2025.sav)-alias,REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:10]-alias,REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:13]-alias,REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:2]-alias
Sec. Penal Especial,QUEJA POR RETARDO DE JUSTICIA,5,0.16129032258064516,0.0033178500331785005,0.00018850852058513044
Sec. Penal Especial,CUESTIONES DE COMPETENCIA,1293,0.6914438502673796,0.8579960185799601,0.04874830342331474
Sec. Penal Especial,REC. EXTRAORDINARIO,10,0.0024588148512417014,0.006635700066357001,0.0003770170411702609
Sec. Penal Especial,QUEJA REC. EXTRAORD. DENEGADO,198,0.009718745398321307,0.13138686131386862,0.007464937415171166
Sec. Juicios Originarios ,DEMANDAS ORIGINARIAS,64,0.8767123287671232,0.735632183908046,0.0024129090634896697
Sec. Juicios Originarios ,CUESTIONES DE COMPETENCIA,23,0.01229946524064171,0.26436781609195403,0.0008671391946916
S.J Nº 7 - Tributario/Bcario./Aduanero,QUEJA REC. ORD. DENEGADO,1,0.021739130434782608,0.0011273957158962795,3.770170411702609e-05
S.J Nº 7 - Tributario/Bcario./Aduanero,QUEJA POR RETARDO DE JUSTICIA,1,0.03225806451612903,0.0011273957158962795,3.770170411702609e-05
S.J Nº 7 - Tributario/Bcario./Aduanero,CUESTIONES DE COMPETENCIA,2,0.0010695187165775401,0.002254791431792559,7.540340823405218e-05
S.J Nº 7 - Tributario/Bcario./Aduanero,REC. EXTRAORDINARIO,345,0.0848291123678387,0.38895152198421645,0.013007087920374001
S.J Nº 7 - Tributario/Bcario./Aduanero,QUEJA REC. EXTRAORD. DENEGADO,538,0.02640750012271143,0.6065388951521984,0.020283516814960035
S.J N°6 - Laboral,QUEJA REC. ORD. DENEGADO,9,0.1956521739130435,0.0029890401859847225,0.0003393153370532348
S.J N°6 - Laboral,REC. DE SALTO DE INSTANCIA,6,0.16666666666666666,0.0019926934573231483,0.00022621022470215653
S.J N°6 - Laboral,QUEJA POR RETARDO DE JUSTICIA,5,0.16129032258064516,0.0016605778811026237,0.00018850852058513044
S.J N°6 - Laboral,CUESTIONES DE COMPETENCIA,1,0.0005347593582887701,0.00033211557622052476,3.770170411702609e-05
S.J N°6 - Laboral,REC. EXTRAORDINARIO,346,0.08507499385296287,0.11491198937230156,0.013044789624491028
S.J N°6 - Laboral,QUEJA REC. EXTRAORD. DENEGADO,2644,0.1297796102684926,0.8781135835270674,0.09968330568541699
S.J N°4 - Contencioso Adm.,QUEJA REC. ORD. DENEGADO,7,0.15217391304347827,0.0056406124093473006,0.0002639119288191826
S.J N°4 - Contencioso Adm.,REC. DE SALTO DE INSTANCIA,7,0.19444444444444445,0.0056406124093473006,0.0002639119288191826
S.J N°4 - Contencioso Adm.,QUEJA POR RETARDO DE JUSTICIA,8,0.25806451612903225,0.0064464141821112,0.0003016136329362087
S.J N°4 - Contencioso Adm.,PRESENTAC. VARIAS,2,0.4,0.0016116035455278,7.540340823405218e-05
S.J N°4 - Contencioso Adm.,REC. EXTRAORDINARIO,250,0.06147037128104254,0.20145044319097505,0.009425426029256523
S.J N°4 - Contencioso Adm.,QUEJA REC. EXTRAORD. DENEGADO,967,0.047464781819074264,0.7792103142626914,0.03645754788116423
S.J N°3 - Penal,QUEJA REC. ORD. DENEGADO,5,0.10869565217391304,0.001591849729385546,0.00018850852058513044
S.J N°3 - Penal,REC. DE SALTO DE INSTANCIA,6,0.16666666666666666,0.0019102196752626551,0.00022621022470215653
S.J N°3 - Penal,RECURSO ORDINARIO,23,1,0.007322508755173512,0.0008671391946916
S.J N°3 - Penal,PRESENTAC. VARIAS,2,0.4,0.0006367398917542184,7.540340823405218e-05
S.J N°3 - Penal,CUESTIONES DE COMPETENCIA,6,0.0032085561497326204,0.0019102196752626551,0.00022621022470215653
S.J N°3 - Penal,REC. EXTRAORDINARIO,87,0.021391689205802804,0.0276981852913085,0.0032800482581812696
S.J N°3 - Penal,QUEJA REC. EXTRAORD. DENEGADO,3012,0.147842733029009,0.958930276981853,0.11355753280048259
S.J N°2 - Previsional,QUEJA REC. ORD. DENEGADO,5,0.10869565217391304,0.00034872367136281213,0.00018850852058513044
S.J N°2 - Previsional,REC. DE SALTO DE INSTANCIA,3,0.08333333333333333,0.00020923420281768727,0.00011310511235107827
S.J N°2 - Previsional,QUEJA POR RETARDO DE JUSTICIA,5,0.16129032258064516,0.00034872367136281213,0.00018850852058513044
S.J N°2 - Previsional,REC. EXTRAORDINARIO,2899,0.7128104253749693,0.20218998465615845,0.10929724023525864
S.J N°2 - Previsional,QUEJA REC. EXTRAORD. DENEGADO,11426,0.5608403278849458,0.7969033337982983,0.4307796712411401
S.J N°1 - Civil y Comercial,QUEJA REC. ORD. DENEGADO,17,0.3695652173913043,0.014370245139475908,0.0006409289699894435
S.J N°1 - Civil y Comercial,REC. DE SALTO DE INSTANCIA,9,0.25,0.007607776838546069,0.0003393153370532348
S.J N°1 - Civil y Comercial,QUEJA POR RETARDO DE JUSTICIA,5,0.16129032258064516,0.00422654268808115,0.00018850852058513044
S.J N°1 - Civil y Comercial,CUESTIONES DE COMPETENCIA,3,0.0016042780748663102,0.00253592561284869,0.00011310511235107827
S.J N°1 - Civil y Comercial,REC. EXTRAORDINARIO,70,0.01721170395869191,0.059171597633136085,0.0026391192881918264
S.J N°1 - Civil y Comercial,QUEJA REC. EXTRAORD. DENEGADO,1079,0.052962253963579245,0.912087912087912,0.04068013874227115
