caso_id_canonico,tomo,n_lineas_bloque,apertura_rel,firma_lines_count,firma_end,pe_idx_baseline,pe_idx_d_validado,disp_cambio,posthoc_rejected,voting_pattern,n_jueces_firma,baseline_voting_pattern,baseline_n_votos_svoto,baseline_n_disidencias,n_votos_actual,n_disid_actual,n_votos_ampliado,n_nuevos_por_ampliado,n_ya_detectados_post_firma,n_votos_narrow_pre_firma,first_voto_narrow
329_p619,329,23,9,2,20,15,15,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p620,329,55,15,5,33,24,24,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,0,0,0,1,32
329_p622,329,23,5,2,21,12,12,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p623,329,33,6,2,32,24,24,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p624,329,199,43,6,158,148,148,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,157
329_p629,329,164,91,3,156,149,149,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p634,329,209,173,6,198,181,181,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,196
329_p639,329,235,184,2,223,218,218,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p646,329,921,306,30,320,313,313,False,False,mixed,7,mixed,3,1,3,1,3,0,3,1,319
329_p669,329,439,376,5,390,385,,True,True,unanime,5,unanime,0,1,0,1,0,0,0,1,4
329_p679,329,334,187,5,272,262,262,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,0,0,0,1,271
329_p689,329,235,179,5,197,190,190,False,False,disidencia,6,disidencia,0,1,0,1,0,0,0,1,196
329_p695,329,589,221,21,238,230,230,False,False,mixed,7,mixed,3,1,3,1,3,0,3,1,237
329_p710,329,194,129,6,174,164,164,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,173
329_p716,329,44,13,5,32,26,26,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,0,0,0,1,31
329_p717,329,258,218,2,230,227,227,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p723,329,232,108,3,183,176,176,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,1,0,1,0,185
329_p730,329,144,108,5,123,118,118,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,1,0,1,0,128
329_p734,329,234,173,9,190,181,181,False,False,mixed,6,mixed,1,1,1,1,2,0,2,0,191
329_p741,329,78,19,5,43,36,36,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,0,0,0,1,42
329_p743,329,327,165,7,310,290,290,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,309
329_p752,329,26,6,3,18,13,13,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p753,329,92,16,2,91,84,84,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p755,329,138,33,4,88,62,62,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,1,0,1,0,93
329_p759,329,540,172,3,536,527,527,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p772,329,178,79,2,145,140,140,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p776,329,99,40,3,92,79,79,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p780,329,106,86,3,98,92,92,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p783,329,254,130,3,248,244,244,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p789,329,119,28,5,78,77,77,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,1,0,1,0,81
329_p792,329,423,172,1,,418,418,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p803,329,58,,2,56,54,54,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p805,329,111,83,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p809,329,963,417,8,,,,False,True,sin_firma,0,segun_su_voto,2,0,2,0,0,0,0,0,750
329_p833,329,161,106,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p838,329,88,23,2,83,79,79,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p840,329,171,93,7,105,96,96,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,106
329_p845,329,83,70,3,82,73,73,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p847,329,149,138,2,148,141,141,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p851,329,224,214,2,223,217,217,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p857,329,95,79,2,90,82,82,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p860,329,103,88,2,98,91,91,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p863,329,92,83,2,91,86,86,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p865,329,107,96,2,106,99,99,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p868,329,122,19,2,109,104,104,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p872,329,297,71,2,284,279,279,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p879,329,354,149,18,201,195,195,False,False,mixed,7,mixed,3,1,3,1,4,0,4,0,236
329_p888,329,150,121,2,140,133,133,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p892,329,246,124,5,139,135,135,False,False,disidencia,7,disidencia,0,2,0,2,2,0,2,0,140
329_p899,329,160,153,1,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p904,329,43,7,2,33,24,24,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p906,329,115,74,6,90,84,84,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,95
329_p909,329,633,316,12,346,335,335,False,False,mixed,6,mixed,4,1,4,1,4,0,4,1,345
329_p926,329,81,21,3,69,62,62,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p928,329,337,124,9,143,137,137,False,False,unanime,7,unanime,0,1,0,1,0,0,0,1,142
329_p937,329,163,,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p942,329,366,60,9,151,139,139,False,False,mixed,7,mixed,1,1,1,1,1,0,1,1,150
329_p951,329,151,13,2,143,138,138,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p955,329,135,70,2,132,127,127,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p959,329,108,23,2,93,89,89,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p963,329,363,66,9,186,180,180,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,188
329_p972,329,173,152,3,165,160,160,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p976,329,323,279,6,293,287,287,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p984,329,149,129,2,141,137,137,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p988,329,46,10,2,26,19,19,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p989,329,55,,3,25,19,19,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,1,0,1,0,30
329_p991,329,40,13,2,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p993,329,151,18,6,40,32,32,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,41
329_p997,329,125,92,3,116,106,106,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,1,0,1,0,117
329_p1002,329,162,139,3,157,148,148,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1007,329,171,168,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p1012,329,286,244,8,261,253,253,False,False,disidencia,8,disidencia,0,1,0,1,1,0,1,0,268
329_p1019,329,108,68,3,107,98,98,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p1022,329,70,17,2,62,56,56,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1024,329,128,75,6,100,89,89,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,1,0,1,0,101
329_p1028,329,94,83,2,93,86,86,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1030,329,79,62,3,74,65,65,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1033,329,92,77,3,87,80,80,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1035,329,161,,6,47,35,35,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,46
329_p1040,329,191,164,3,179,172,172,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p1045,329,159,123,5,143,133,133,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,144
329_p1049,329,134,111,2,128,124,124,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1053,329,516,452,14,473,465,465,False,False,segun_su_voto,7,segun_su_voto,2,0,2,0,2,0,2,0,474
329_p1066,329,998,335,19,595,586,586,False,False,mixed,7,mixed,5,2,5,2,7,0,7,0,597
329_p1092,329,3600,537,32,765,757,757,False,False,mixed,5,mixed,3,2,3,2,6,1,5,0,772
329_p1180,329,450,338,9,353,348,348,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,1,0,1,0,359
329_p1191,329,693,247,14,405,400,400,False,False,segun_su_voto,6,segun_su_voto,4,0,4,0,5,1,4,0,406
329_p1209,329,402,318,9,336,327,327,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,337
329_p1219,329,174,138,4,155,147,147,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,156
329_p1224,329,91,17,3,85,79,79,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1226,329,383,86,7,262,257,257,False,False,segun_su_voto,7,segun_su_voto,2,0,2,0,2,0,2,0,264
329_p1236,329,195,116,7,126,119,119,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,0,0,0,1,125
329_p1241,329,70,50,2,60,53,53,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1243,329,85,71,2,83,74,74,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1245,329,2195,1063,7,1589,1572,1572,False,False,mixed,7,mixed,1,1,1,1,2,0,2,0,1590
329_p1301,329,72,17,2,60,49,49,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1303,329,56,14,3,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p1305,329,37,12,2,36,32,32,False,False,unanime,2,unanime,0,0,0,0,0,0,0,0,
329_p1306,329,1,,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p1307,329,37,5,2,20,8,8,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1309,329,80,14,3,52,37,37,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1310,329,11,,3,10,5,5,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1311,329,142,101,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p1317,329,305,57,6,295,284,284,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p1324,329,120,102,2,115,105,105,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1328,329,81,65,2,80,68,68,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1330,329,62,45,2,59,48,48,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1332,329,167,154,4,165,157,157,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1336,329,73,61,2,71,64,64,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1338,329,85,68,2,83,71,71,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1341,329,84,71,2,82,74,74,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1343,329,185,6,4,17,9,9,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1348,329,83,70,2,81,73,73,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1350,329,4801,138,132,156,147,147,False,False,disidencia,6,disidencia,0,1,0,1,0,0,0,1,155
329_p1375,329,68,53,2,67,56,56,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1377,329,122,109,2,119,112,112,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1380,329,109,1,4,11,4,4,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1383,329,89,77,2,87,80,80,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1385,329,130,114,2,125,117,117,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1389,329,82,66,2,81,69,69,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1391,329,247,222,2,241,235,235,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1397,329,66,10,3,51,46,46,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p1399,329,718,93,13,404,390,390,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,0,0,0,1,403
329_p1417,329,301,174,3,292,283,283,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1425,329,347,195,7,247,243,243,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,248
329_p1434,329,71,17,3,60,55,55,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1436,329,147,113,6,130,121,121,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,129
329_p1440,329,255,217,5,237,229,229,False,False,disidencia,6,disidencia,0,1,0,1,0,0,0,1,236
329_p1447,329,1026,605,27,682,671,671,False,False,mixed,9,mixed,1,2,1,2,2,0,2,1,681
329_p1473,329,258,233,2,247,241,241,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1480,329,233,121,9,143,128,128,False,False,disidencia,8,disidencia,0,1,0,1,0,0,0,1,141
329_p1487,329,31,7,2,26,22,22,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1488,329,89,55,4,71,68,68,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,1,0,1,0,74
329_p1490,329,108,19,3,59,54,54,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,1,0,1,0,60
329_p1493,329,295,269,2,288,278,278,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1501,329,187,150,8,164,159,159,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,169
329_p1506,329,336,72,9,93,83,,True,True,disidencia,6,disidencia,0,2,0,2,0,0,0,2,1
329_p1514,329,275,235,6,254,245,245,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,0,0,0,1,253
329_p1521,329,31,8,2,26,23,23,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1522,329,653,379,8,401,393,393,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,400
329_p1538,329,33,8,2,29,26,26,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1539,329,52,7,3,43,36,36,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p1541,329,11,,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p1554,329,499,287,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p1568,329,665,348,2,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p1586,329,650,352,4,647,642,642,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1603,329,247,96,3,240,226,226,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1609,329,86,74,6,85,77,77,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p1611,329,297,282,2,292,285,285,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1619,329,118,21,6,56,49,49,False,False,disidencia,6,disidencia,0,1,0,1,0,0,0,1,55
