caso_id_canonico,source_file,a0,k0_rel,k0_abs,clase,rama,guard_fuente,n_anclas_pre,n_anclas_post,k_propio_rel,span_pre_apertura,wc_primer_span,n_spans,wc_epilogo_total,primera_linea,k_post_rel,clase_post,rama_post,guard_fuente_post,primera_linea_post
329_p4542,LibroVol329.3.md,ok,402,61032,recurso_narrativo,Recurso,propia,0,1,2,0,291,5,1418,recurso extraordinario parcialmente concedido a fs. 162/162 vta.,402,recurso_narrativo,Recurso,propia,recurso extraordinario parcialmente concedido a fs. 162/162 vta.
329_p4688,LibroVol329.3.md,ok,649,66893,recurso_narrativo,Recurso,propia,0,3,1,0,369,9,1461,"recurso de casación (fs. 832/ 834), y luego decretó la nulidad de la sen-",649,recurso_narrativo,Recurso,propia,"recurso de casación (fs. 832/ 834), y luego decretó la nulidad de la sen-"
329_p5044,LibroVol329.4.md,ok,133,6041,recurso_narrativo,Recurso,propia,0,5,2,0,391,4,1324,"recurso de queja, corresponde que esta Corte se expida en la medida y",133,recurso_narrativo,Recurso,propia,"recurso de queja, corresponde que esta Corte se expida en la medida y"
329_p5266,LibroVol329.4.md,ok,619,14983,recurso_narrativo,Recurso,propia,0,3,5,0,64,29,10498,"recurso extraordinario a fs. 122/137, cuya desestimación a fs. 150/151",619,recurso_narrativo,Recurso,propia,"recurso extraordinario a fs. 122/137, cuya desestimación a fs. 150/151"
329_p5382,LibroVol329.4.md,ok,977,19788,recurso_narrativo,Recurso,propia,0,18,1,0,346,5,1418,recursos previstos en caso de violación de este derecho.,977,recurso_narrativo,Recurso,propia,recursos previstos en caso de violación de este derecho.
329_p5424,LibroVol329.4.md,ok,358,20841,recurso_narrativo,Recurso,propia,0,2,1,0,362,6,1729,recurso extraordinario cuya desestimación dio motivo a la presente,358,recurso_narrativo,Recurso,propia,recurso extraordinario cuya desestimación dio motivo a la presente
329_p5467,LibroVol329.4.md,ok,179,22325,pie_genuino,Recurso,propia,0,2,1,0,104,11,1601,recurso deducido por la Comisión Liquidadora a fin de que se le reco-,179,pie_genuino,Recurso,propia,recurso deducido por la Comisión Liquidadora a fin de que se le reco-
329_p5778,LibroVol329.4.md,ok,278,33799,rotulo_pie,Tribunal de origen,propia,0,8,0,0,58,4,554,"tribunal de origen para que, por quien corresponda, se dicte un nuevo",278,rotulo_pie,Tribunal de origen,propia,"tribunal de origen para que, por quien corresponda, se dicte un nuevo"
329_p5950,LibroVol329.4.md,ok,420,40426,recurso_narrativo,Recurso,propia,0,1,0,0,272,4,1006,recurso extraordinario en el que se plantearon los agravios que han,420,recurso_narrativo,Recurso,propia,recurso extraordinario en el que se plantearon los agravios que han
329_p6087,LibroVol329.4.md,ok,113,45204,pie_genuino,Recurso,propia,0,3,1,0,278,17,4378,"Recurso extraordinario interpuesto por el Banco de la Provincia de Buenos Aires,",113,pie_genuino,Recurso,propia,"Recurso extraordinario interpuesto por el Banco de la Provincia de Buenos Aires,"
330_p261,LibroVol330.1.md,ok,404,9831,recurso_narrativo,Recurso,propia,0,3,1,0,151,10,3068,recurso de apelación ordinario con sustento en la violación del princi-,404,recurso_narrativo,Recurso,propia,recurso de apelación ordinario con sustento en la violación del princi-
330_p452,LibroVol330.1.md,ok,669,17585,recurso_narrativo,Recurso,propia,0,5,1,0,265,5,1344,recurso sencillo y rápido o a cualquier otro recurso efectivo (conf.,669,recurso_narrativo,Recurso,propia,recurso sencillo y rápido o a cualquier otro recurso efectivo (conf.
330_p855,LibroVol330.1.md,ok,3197,35654,rotulo_pie,Parte actora,propia,0,11,1,0,168,9,2395,parte actora se opuso a la aplicación de la nueva ley por reputarla,3197,rotulo_pie,Parte actora,propia,parte actora se opuso a la aplicación de la nueva ley por reputarla
330_p940,LibroVol330.1.md,ok,188,36108,recurso_narrativo,Recurso,propia,0,3,1,0,320,5,798,recurso interpuesto para encuadrarlo en el marco de la apelación ordi-,188,recurso_narrativo,Recurso,propia,recurso interpuesto para encuadrarlo en el marco de la apelación ordi-
330_p1309,LibroVol330.1.md,ok,104,50005,pie_genuino,Recurso,propia,0,3,1,0,172,10,1256,Recursos ordinarios interpuestos por la Administración Nacional de la Seguridad,104,pie_genuino,Recurso,propia,Recursos ordinarios interpuestos por la Administración Nacional de la Seguridad
330_p1671,LibroVol330.2.md,ok,574,13713,recurso_narrativo,Recurso,propia,0,7,1,0,353,19,7743,recursos que posibiliten al niño permanecer junto a su familia de ori-,574,recurso_narrativo,Recurso,propia,recursos que posibiliten al niño permanecer junto a su familia de ori-
330_p1989,LibroVol330.2.md,ok,840,26188,recurso_narrativo,Recurso,propia,0,6,1,0,148,4,948,"recurso extraordinario a fs. 334/345, en el que se agravia de la decla-",840,recurso_narrativo,Recurso,propia,"recurso extraordinario a fs. 334/345, en el que se agravia de la decla-"
330_p2445,LibroVol330.2.md,ok,88,42945,recurso_narrativo,Recurso,propia,0,6,1,0,16,6,1653,recursos extraordinarios son inadmisibles (art. 280 del Código Proce-,88,recurso_narrativo,Recurso,propia,recursos extraordinarios son inadmisibles (art. 280 del Código Proce-
330_p2470,LibroVol330.2.md,ok,172,44001,recurso_narrativo,Recurso,propia,0,1,1,0,152,5,1329,recursos administrativos por ella interpuestos.,172,recurso_narrativo,Recurso,propia,recursos administrativos por ella interpuestos.
330_p2671,LibroVol330.2.md,ok,408,51891,recurso_narrativo,Recurso,propia,0,7,2,0,241,4,1045,recurso extraordinario cuya denegación motivó la queja en examen.,408,recurso_narrativo,Recurso,propia,recurso extraordinario cuya denegación motivó la queja en examen.
330_p2774,LibroVol330.2.md,ok,327,55849,recurso_narrativo,Recurso,propia,0,7,1,0,440,2,627,"recurso efectivo y a las garantías del debido proceso, del derecho a la",327,recurso_narrativo,Recurso,propia,"recurso efectivo y a las garantías del debido proceso, del derecho a la"
330_p2826,LibroVol330.2.md,ok,294,57882,recurso_narrativo,Recurso,propia,0,1,1,0,345,2,539,"recurso extraordinario federal denegado, causa O.51.XXXIX– y fue",294,recurso_narrativo,Recurso,propia,"recurso extraordinario federal denegado, causa O.51.XXXIX– y fue"
330_p2877,LibroVol330.3.md,ok,470,519,recurso_narrativo,Recurso,propia,0,3,1,0,385,5,1117,"recursos extraordinarios (fs. 545/597; 599/614), que fueron concedidos",470,recurso_narrativo,Recurso,propia,"recursos extraordinarios (fs. 545/597; 599/614), que fueron concedidos"
330_p3028,LibroVol330.3.md,ok,172,6019,recurso_narrativo,Recurso,propia,0,6,1,0,134,5,1396,"recurso, la Cámara de Apelaciones hizo lugar a la recusación del ma-",172,recurso_narrativo,Recurso,propia,"recurso, la Cámara de Apelaciones hizo lugar a la recusación del ma-"
330_p3055,LibroVol330.3.md,ok,243,7164,recurso_narrativo,Recurso,propia,0,2,1,0,56,9,2147,recurso de reconsideración que también fue desestimado porque el,243,recurso_narrativo,Recurso,propia,recurso de reconsideración que también fue desestimado porque el
330_p3145,LibroVol330.3.md,ok,71,10513,recurso_narrativo,Recurso,propia,0,5,1,0,98,4,599,"recurso ordinario de apelación, que fue concedido de acuerdo con lo",71,recurso_narrativo,Recurso,propia,"recurso ordinario de apelación, que fue concedido de acuerdo con lo"
330_p3248,LibroVol330.3.md,ok,1688,16305,recurso_narrativo,Recurso,propia,0,3,1,0,284,53,19962,"recurso de revisión, y que la misma está amparada incluso por los",1688,recurso_narrativo,Recurso,propia,"recurso de revisión, y que la misma está amparada incluso por los"
330_p3526,LibroVol330.3.md,ok,308,26126,recurso_narrativo,Recurso,propia,0,2,1,0,139,4,670,recurso de casación deducido contra la sentencia de la Cámara en lo,308,recurso_narrativo,Recurso,propia,recurso de casación deducido contra la sentencia de la Cámara en lo
330_p3801,LibroVol330.3.md,ok,755,37210,recurso_narrativo,Recurso,propia,0,3,1,0,161,9,2153,recurso extraordinario en lo relativo a la presunta invalidez de los,755,recurso_narrativo,Recurso,propia,recurso extraordinario en lo relativo a la presunta invalidez de los
330_p3908,LibroVol330.3.md,ok,1524,42199,recurso_narrativo,Recurso,propia,0,7,1,0,242,6,2046,recursos económicos o ejercen el gobierno.,1524,recurso_narrativo,Recurso,propia,recursos económicos o ejercen el gobierno.
330_p3977,LibroVol330.3.md,ok,327,43802,recurso_narrativo,Recurso,propia,0,1,1,0,57,11,3283,recurso ordinario registrado como H.306. XXXIX caratulado “Her-,327,recurso_narrativo,Recurso,propia,recurso ordinario registrado como H.306. XXXIX caratulado “Her-
330_p4211,LibroVol330.3.md,ok,125,52552,recurso_narrativo,Recurso,propia,0,5,1,0,132,3,534,"recursos extraordinarios de orden local que les son llevados, no re-",125,recurso_narrativo,Recurso,propia,"recursos extraordinarios de orden local que les son llevados, no re-"
330_p4416,LibroVol330.4.md,ok,160,4047,recurso_narrativo,Recurso,propia,0,5,1,0,297,3,570,recurso de casación la apelante introdujo razonadamente planteos se-,160,recurso_narrativo,Recurso,propia,recurso de casación la apelante introdujo razonadamente planteos se-
330_p4592,LibroVol330.4.md,ok,362,10822,recurso_narrativo,Recurso,propia,0,8,1,0,377,6,2165,"recursos ordinarios de apelación concedidos a fs. 1228. Igualmente,",362,recurso_narrativo,Recurso,propia,"recursos ordinarios de apelación concedidos a fs. 1228. Igualmente,"
330_p4615,LibroVol330.4.md,ok,405,11785,recurso_narrativo,Recurso,propia,0,7,1,0,129,8,2605,"recurso extraordinario que fue concedido, en el que sostiene que el",405,recurso_narrativo,Recurso,propia,"recurso extraordinario que fue concedido, en el que sostiene que el"
330_p4697,LibroVol330.4.md,ok,162,14665,recurso_narrativo,Recurso,propia,0,1,1,0,155,3,680,"recurso de apelación ordinaria (fs. 176), que fue concedido (fs. 177) y",162,recurso_narrativo,Recurso,propia,"recurso de apelación ordinaria (fs. 176), que fue concedido (fs. 177) y"
330_p4879,LibroVol330.4.md,ok,86,21610,recurso_narrativo,Recurso,propia,0,6,1,0,65,4,1068,recursos de casación que fueron concedidos –aunque el primero sólo,86,recurso_narrativo,Recurso,propia,recursos de casación que fueron concedidos –aunque el primero sólo
330_p4960,LibroVol330.4.md,ok,325,24842,recurso_narrativo,Recurso,propia,0,12,11,0,8,3,585,recurso que da cuenta la presentación a despacho.,325,recurso_narrativo,Recurso,propia,recurso que da cuenta la presentación a despacho.
330_p5052,LibroVol330.4.md,ok,317,28483,recurso_narrativo,Recurso,propia,0,1,1,0,127,5,1035,recurso de casación con sustento en los serios defectos de funda-,317,recurso_narrativo,Recurso,propia,recurso de casación con sustento en los serios defectos de funda-
330_p5345,LibroVol330.4.md,ok,242,39837,recurso_narrativo,Recurso,propia,0,1,1,0,185,20,7058,recurso de queja y dispuso la suspensión de los procedimientos de eje-,242,recurso_narrativo,Recurso,propia,recurso de queja y dispuso la suspensión de los procedimientos de eje-
330_p5435,LibroVol330.4.md,ok,184,43465,rotulo_pie,Profesionales,propia,0,1,0,0,196,10,3490,profesionales al que remite la ley 24.557. Contra dicho pronunciamiento,184,rotulo_pie,Profesionales,propia,profesionales al que remite la ley 24.557. Contra dicho pronunciamiento
331_p36,LibroVol331.1.md,ok,291,1436,pie_genuino,Recurso,propia,0,9,1,0,161,4,923,recurso de casación interpuesto por la parte querellante (fs. 428/449),291,pie_genuino,Recurso,propia,recurso de casación interpuesto por la parte querellante (fs. 428/449)
331_p127,LibroVol331.1.md,ok,128,4533,recurso_narrativo,Recurso,propia,0,2,0,0,145,4,700,recurso extraordinario que fue concedido en cuanto se halla en juego,128,recurso_narrativo,Recurso,propia,recurso extraordinario que fue concedido en cuanto se halla en juego
331_p266,LibroVol331.1.md,ok,441,10296,recurso_narrativo,Recurso,propia,0,7,1,0,204,5,567,"recurso, con lo cual extendió ilegítimamente la interpretación, ya que",441,recurso_narrativo,Recurso,propia,"recurso, con lo cual extendió ilegítimamente la interpretación, ya que"
331_p608,LibroVol331.1.md,ok,391,23143,recurso_narrativo,Recurso,propia,0,3,1,0,422,4,960,recurso ordinario de apelación que fue concedido.,391,recurso_narrativo,Recurso,propia,recurso ordinario de apelación que fue concedido.
331_p636,LibroVol331.1.md,ok,2112,25904,recurso_narrativo,Recurso,propia,0,19,1,0,357,5,1444,recurso de casación con base en el motivo de violación o errónea apli-,2112,recurso_narrativo,Recurso,propia,recurso de casación con base en el motivo de violación o errónea apli-
331_p810,LibroVol331.1.md,ok,223,30767,recurso_narrativo,Recurso,propia,0,6,2,0,216,4,815,"recurso de inaplicabilidad de la ley que, desestimado por la Suprema",223,recurso_narrativo,Recurso,propia,"recurso de inaplicabilidad de la ley que, desestimado por la Suprema"
331_p831,LibroVol331.1.md,ok,326,31682,recurso_narrativo,Recurso,propia,0,6,0,0,413,4,873,"recursos de la seguridad social, entre ellos, los destinados a financiar",326,recurso_narrativo,Recurso,propia,"recursos de la seguridad social, entre ellos, los destinados a financiar"
331_p1765,LibroVol331.2.md,ok,140,29317,recurso_narrativo,Recurso,propia,0,1,1,0,377,5,771,"recurso extraordinario (Fallos: 310:819; 324:3948; 325:2275, entre",140,recurso_narrativo,Recurso,propia,"recurso extraordinario (Fallos: 310:819; 324:3948; 325:2275, entre"
331_p2047,LibroVol331.3.md,ok,747,3255,recurso_narrativo,Recurso,propia,0,11,1,0,81,5,1120,"recurso deducido, toda vez que se ha puesto en tela de juicio la inteli-",747,recurso_narrativo,Recurso,propia,"recurso deducido, toda vez que se ha puesto en tela de juicio la inteli-"
331_p2094,LibroVol331.3.md,ok,119,4478,recurso_narrativo,Recurso,propia,0,5,1,0,218,4,756,recurso extraordinario que fue concedido a fojas 96.,119,recurso_narrativo,Recurso,propia,recurso extraordinario que fue concedido a fojas 96.
331_p2149,LibroVol331.3.md,ok,192,6673,recurso_narrativo,Recurso,propia,0,7,1,0,295,3,701,"recurso, con lo cual extendió ilegítimamente la interpretación, ya que",192,recurso_narrativo,Recurso,propia,"recurso, con lo cual extendió ilegítimamente la interpretación, ya que"
331_p2672,LibroVol331.3.md,ok,67,26473,recurso_narrativo,Recurso,propia,0,1,1,0,346,4,1166,"recurso de hecho que, bajo el registro E.156, L.XLII, corre agregado",67,recurso_narrativo,Recurso,propia,"recurso de hecho que, bajo el registro E.156, L.XLII, corre agregado"
332_p253,LibroVol332.1.md,ok,637,10452,recurso_narrativo,Recurso,propia,0,4,0,0,52,4,814,recursos con que ésta cuenta con vistas a lograr que todos y cada uno,637,recurso_narrativo,Recurso,propia,recursos con que ésta cuenta con vistas a lograr que todos y cada uno
332_p351,LibroVol332.1.md,ok,154,13749,recurso_narrativo,Recurso,propia,0,2,1,0,221,3,586,"recurso de apelación ordinario (fs. 1018/1021) que, concedido (fs. 1022),",154,recurso_narrativo,Recurso,propia,"recurso de apelación ordinario (fs. 1018/1021) que, concedido (fs. 1022),"
332_p552,LibroVol332.1.md,ok,836,22213,recurso_narrativo,Recurso,propia,0,5,1,0,340,4,700,recurso de revisión ante el Superior Tribunal de Justicia de Río Negro,836,recurso_narrativo,Recurso,propia,recurso de revisión ante el Superior Tribunal de Justicia de Río Negro
332_p700,LibroVol332.1.md,ok,94,27326,recurso_narrativo,Recurso,propia,0,10,1,0,348,9,2142,recurso extraordinario (v. fs. 65/67).,94,recurso_narrativo,Recurso,propia,recurso extraordinario (v. fs. 65/67).
332_p752,LibroVol332.1.md,ok,215,29515,recurso_narrativo,Recurso,propia,0,5,2,0,236,6,1283,recurso ordinario de apelación (fs. 1003/1005 vta.) y recurso extraor-,215,recurso_narrativo,Recurso,propia,recurso ordinario de apelación (fs. 1003/1005 vta.) y recurso extraor-
332_p777,LibroVol332.1.md,ok,558,30840,pie_genuino,Recurso,propia,0,5,0,0,314,6,2003,"recurso extraordinario interpuesto por la demandada, en los autos",558,pie_genuino,Recurso,propia,"recurso extraordinario interpuesto por la demandada, en los autos"
332_p952,LibroVol332.2.md,ok,246,1522,recurso_narrativo,Recurso,propia,0,1,1,0,356,4,1114,"recurso extraordinario, que fue concedido en lo atinente al alcance e",246,recurso_narrativo,Recurso,propia,"recurso extraordinario, que fue concedido en lo atinente al alcance e"
332_p1633,LibroVol332.2.md,ok,150,27608,recurso_narrativo,Recurso,propia,0,1,1,0,235,12,4452,"recurso ordinario de apelación, corresponde al Tribunal emitir un",150,recurso_narrativo,Recurso,propia,"recurso ordinario de apelación, corresponde al Tribunal emitir un"
332_p1769,LibroVol332.2.md,ok,713,33513,recurso_narrativo,Recurso,propia,0,1,1,0,401,13,4249,recurso extraordinario contra la decisión de extraer sangre compul-,713,recurso_narrativo,Recurso,propia,recurso extraordinario contra la decisión de extraer sangre compul-
332_p1914,LibroVol332.2.md,ok,428,39098,recurso_narrativo,Recurso,propia,0,7,1,0,269,4,1011,"recurso extraordinario (fojas 79/89 vta.), fue contestado (fojas 91/92)",428,recurso_narrativo,Recurso,propia,"recurso extraordinario (fojas 79/89 vta.), fue contestado (fojas 91/92)"
332_p1952,LibroVol332.2.md,ok,83,40244,recurso_narrativo,Recurso,propia,0,5,2,0,158,5,581,recurso extraordinario.,83,recurso_narrativo,Recurso,propia,recurso extraordinario.
332_p2043,LibroVol332.3.md,ok,822,1288,recurso_narrativo,Recurso,propia,0,7,0,0,148,6,1719,"recurso extraordinario (Fallos: 310:819; 324:3948; 325:2275, entre",822,recurso_narrativo,Recurso,propia,"recurso extraordinario (Fallos: 310:819; 324:3948; 325:2275, entre"
332_p2099,LibroVol332.3.md,ok,65,2779,recurso_narrativo,Recurso,propia,0,1,1,0,259,8,2178,recursos fueron concedidos (fs. 320 y 323) y fundados en esta instan-,65,recurso_narrativo,Recurso,propia,recursos fueron concedidos (fs. 320 y 323) y fundados en esta instan-
332_p2237,LibroVol332.3.md,ok,384,8420,recurso_narrativo,Recurso,propia,0,7,0,0,308,4,1095,recurso extraordinario (conf. fs. 175/184).,384,recurso_narrativo,Recurso,propia,recurso extraordinario (conf. fs. 175/184).
332_p2280,LibroVol332.3.md,ok,196,9913,recurso_narrativo,Recurso,propia,0,2,2,0,210,4,918,"recurso extraordinario de fs. 416/423, contestado a fs. 435/438 y conce-",196,recurso_narrativo,Recurso,propia,"recurso extraordinario de fs. 416/423, contestado a fs. 435/438 y conce-"
332_p2339,LibroVol332.3.md,ok,1245,13292,recurso_narrativo,Recurso,propia,0,6,1,0,381,15,5384,"recursos sin limitar su alcance, por lo que es procedente acceder al",1245,recurso_narrativo,Recurso,propia,"recursos sin limitar su alcance, por lo que es procedente acceder al"
332_p2397,LibroVol332.3.md,ok,297,14765,recurso_narrativo,Recurso,propia,0,10,1,0,234,3,570,"recurso de casación en favor de Jorge Ramón Daniel Ciraolo, a quien",297,recurso_narrativo,Recurso,propia,"recurso de casación en favor de Jorge Ramón Daniel Ciraolo, a quien"
332_p2783,LibroVol332.3.md,ok,417,29802,recurso_narrativo,Recurso,propia,0,1,2,0,99,6,1536,recurso de hecho.,417,recurso_narrativo,Recurso,propia,recurso de hecho.
333_p16,LibroVol333.1.md,ok,87,575,recurso_narrativo,Recurso,propia,0,1,1,0,328,6,1654,recurso extraordinario de fs. 214/221.,87,recurso_narrativo,Recurso,propia,recurso extraordinario de fs. 214/221.
333_p39,LibroVol333.1.md,ok,246,1575,recurso_narrativo,Recurso,propia,0,1,2,0,236,11,2966,"recursos en su lugar de origen. Por esa razón, y por tratarse de áreas",246,recurso_narrativo,Recurso,propia,"recursos en su lugar de origen. Por esa razón, y por tratarse de áreas"
333_p360,LibroVol333.1.md,ok,46,13793,recurso_narrativo,Recurso,propia,0,1,0,0,36,5,991,"recurso extraordinario local de inaplicabilidad de ley, mediante el cual",46,recurso_narrativo,Recurso,propia,"recurso extraordinario local de inaplicabilidad de ley, mediante el cual"
333_p447,LibroVol333.1.md,ok,312,17498,recurso_narrativo,Recurso,propia,0,1,0,0,108,7,1551,"recurso extraordinario que, denegado, dio origen a la presente queja.",312,recurso_narrativo,Recurso,propia,"recurso extraordinario que, denegado, dio origen a la presente queja."
333_p519,LibroVol333.1.md,ok,228,20241,recurso_narrativo,Recurso,propia,0,1,1,0,333,3,822,recurso se dirige a lograr la plena efectividad de la prohibición de la,228,recurso_narrativo,Recurso,propia,recurso se dirige a lograr la plena efectividad de la prohibición de la
333_p831,LibroVol333.2.md,ok,216,2368,recurso_narrativo,Recurso,propia,0,7,0,0,281,12,3931,recursos interpuestos contra el fallo condenatorio. En el voto que hizo,216,recurso_narrativo,Recurso,propia,recursos interpuestos contra el fallo condenatorio. En el voto que hizo
333_p1331,LibroVol333.2.md,ok,391,22109,rotulo_pie,Parte demandada,propia,0,2,1,0,441,9,3295,parte demandada había reconocido que la nota del 4 de enero de 1998,391,rotulo_pie,Parte demandada,propia,parte demandada había reconocido que la nota del 4 de enero de 1998
333_p1404,LibroVol333.2.md,ok,356,24993,pie_genuino,Recurso,propia,0,1,3,0,20,9,594,recurso de hecho interpuesto por la parte actora (expediente M.790.,356,pie_genuino,Recurso,propia,recurso de hecho interpuesto por la parte actora (expediente M.790.
