caso_id_canonico,cod_materia
330_p619,AMBIGUO
330_p803,civil_comercial
331_p116,AMBIGUO
331_p123,previsional
331_p1651,previsional
331_p194,contencioso_administrativo
331_p2166,previsional
331_p2257,contencioso_administrativo
331_p2266,contencioso_administrativo
331_p2283,AMBIGUO
331_p2608,previsional
331_p2621,salud
331_p2839,laboral
331_p2910,AMBIGUO
331_p2913,AMBIGUO
331_p355,contencioso_administrativo
331_p499,salud
331_p536,contencioso_administrativo
331_p549,constitucional
331_p58,ambiental
331_p68,civil_comercial
331_p748,civil_comercial
331_p846,salud
331_p978,AMBIGUO
331_p989,AMBIGUO
332_p102,consumo
332_p1029,lesa_humanidad
332_p1035,tributario
332_p105,civil_comercial
332_p1190,electoral
332_p1280,AMBIGUO
332_p1338,constitucional
332_p1382,civil_comercial
332_p1600,contencioso_administrativo
332_p1629,contencioso_administrativo
332_p1704,AMBIGUO
332_p1741,previsional
332_p1823,consumo
332_p2043,laboral
332_p2208,AMBIGUO
332_p2502,contencioso_administrativo
332_p2604,penal
332_p2625,AMBIGUO
332_p2797,tributario
332_p2806,tributario
332_p324,civil_comercial
332_p399,salud
332_p433,electoral
332_p548,AMBIGUO
332_p582,ambiental
332_p595,civil_comercial
332_p810,penal
332_p850,previsional
332_p962,civil_comercial
332_p979,AMBIGUO
333_p1235,penal
333_p1639,penal
333_p2010,AMBIGUO
333_p215,contencioso_administrativo
333_p241,AMBIGUO
333_p290,tributario
333_p300,tributario
333_p447,civil_comercial
333_p508,tributario
333_p570,ambiental
333_p60,AMBIGUO
333_p9,AMBIGUO
334_p1070,penal
334_p1074,contencioso_administrativo
334_p1081,contencioso_administrativo
334_p1204,penal
334_p1276,constitucional
334_p144,electoral
334_p376,contencioso_administrativo
334_p44,AMBIGUO
334_p474,tributario
334_p490,AMBIGUO
334_p941,AMBIGUO
337_p1024,contencioso_administrativo
337_p1095,contencioso_administrativo
337_p1142,laboral
337_p1234,civil_comercial
337_p1581,previsional
337_p222,salud
337_p234,AMBIGUO
337_p329,civil_comercial
337_p373,contencioso_administrativo
337_p45,salud
337_p481,tributario
337_p505,penal
337_p654,salud
337_p735,civil_comercial
337_p771,contencioso_administrativo
338_p102,contencioso_administrativo
338_p1252,civil_comercial
338_p148,previsional
338_p1517,penal
338_p155,contencioso_administrativo
338_p249,constitucional
338_p280,constitucional
338_p40,consumo
338_p419,contencioso_administrativo
338_p463,penal
338_p539,AMBIGUO
338_p628,electoral
338_p868,AMBIGUO
339_p1048,AMBIGUO
339_p1077,contencioso_administrativo
339_p1171,AMBIGUO
339_p1530,contencioso_administrativo
339_p155,laboral
339_p1567,laboral
339_p1621,AMBIGUO
339_p1760,salud
339_p183,AMBIGUO
339_p1831,salud
339_p1834,civil_comercial
339_p274,AMBIGUO
339_p434,tributario
339_p490,civil_comercial
339_p506,penal
339_p597,tributario
339_p602,penal
339_p704,consumo
339_p824,contencioso_administrativo
339_p846,AMBIGUO
340_p1025,AMBIGUO
340_p1383,electoral
340_p1395,AMBIGUO
340_p1398,laboral
340_p1441,laboral
340_p1450,penal
340_p1551,laboral
340_p1554,penal
340_p257,constitucional
340_p397,AMBIGUO
340_p431,AMBIGUO
340_p628,salud
340_p708,penal
340_p732,civil_comercial
340_p786,penal
340_p822,laboral
340_p88,contencioso_administrativo
340_p900,AMBIGUO
340_p905,civil_comercial
340_p95,AMBIGUO
340_p991,AMBIGUO
341_p127,AMBIGUO
341_p1338,AMBIGUO
341_p1355,AMBIGUO
341_p1649,salud
341_p289,AMBIGUO
341_p32,AMBIGUO
341_p324,ambiental
341_p335,ambiental
341_p500,contencioso_administrativo
341_p560,ambiental
341_p566,civil_comercial
341_p600,penal
341_p619,AMBIGUO
342_p1028,penal
342_p1061,AMBIGUO
342_p1358,salud
342_p1393,AMBIGUO
342_p1456,contencioso_administrativo
342_p1483,penal
342_p2083,tributario
342_p2399,salud
342_p266,salud
342_p507,civil_comercial
342_p58,AMBIGUO
342_p692,salud
342_p824,AMBIGUO
342_p969,contencioso_administrativo
343_p1233,civil_comercial
343_p1319,electoral
343_p140,contencioso_administrativo
343_p1620,penal
343_p1688,AMBIGUO
343_p1718,salud
343_p1944,AMBIGUO
343_p2176,salud
343_p33,AMBIGUO
343_p365,AMBIGUO
343_p373,penal
343_p396,penal
343_p412,contencioso_administrativo
343_p42,electoral
343_p580,AMBIGUO
343_p595,civil_comercial
343_p646,tributario
344_p1253,civil_comercial
344_p1260,AMBIGUO
344_p1283,laboral
344_p1438,penal
344_p1835,AMBIGUO
344_p1843,AMBIGUO
344_p2080,salud
344_p2172,civil_comercial
344_p2339,electoral
344_p2393,penal
344_p251,AMBIGUO
344_p2669,civil_comercial
344_p2868,salud
344_p2955,civil_comercial
344_p3095,consumo
344_p3394,tributario
344_p344,contencioso_administrativo
344_p3469,salud
344_p575,AMBIGUO
344_p684,civil_comercial
344_p701,contencioso_administrativo
345_p12,AMBIGUO
345_p1238,laboral
345_p1266,laboral
345_p1421,penal
345_p154,AMBIGUO
345_p241,laboral
345_p37,penal
345_p50,electoral
345_p523,civil_comercial
345_p583,contencioso_administrativo
345_p670,AMBIGUO
345_p683,salud
345_p938,salud
346_p1234,salud
346_p1241,AMBIGUO
346_p1339,lesa_humanidad
346_p1377,cambiario
346_p1426,tributario
346_p439,laboral
346_p44,AMBIGUO
346_p646,laboral
346_p658,penal
346_p675,contencioso_administrativo
346_p730,salud
346_p821,ambiental
346_p866,salud
347_p1022,salud
347_p1031,AMBIGUO
347_p1046,AMBIGUO
347_p1134,salud
347_p1137,penal
347_p1191,AMBIGUO
347_p1215,civil_comercial
347_p1932,AMBIGUO
347_p2001,penal
347_p2025,penal
347_p360,penal
347_p412,AMBIGUO
347_p43,electoral
347_p606,AMBIGUO
347_p768,AMBIGUO
347_p833,AMBIGUO
348_p113,penal
348_p1316,contencioso_administrativo
348_p1347,AMBIGUO
348_p1378,civil_comercial
348_p1499,AMBIGUO
348_p1540,AMBIGUO
348_p1576,AMBIGUO
348_p169,AMBIGUO
348_p1717,AMBIGUO
348_p296,penal
348_p405,AMBIGUO
348_p61,AMBIGUO
348_p708,ambiental
348_p92,AMBIGUO
348_p983,ambiental
349_p148,consumo
349_p280,laboral
349_p95,penal
